summary_nr,rel_insp_nr,age,sex,nature_of_inj,part_of_body,src_of_injury,event_type,evn_factor,hum_factor,occ_code,degree_of_inj,task_assigned,hazsub,const_op,const_op_cause,fat_cause,fall_distance,fall_ht,injury_line_nr,load_dt
221207624,344404074,0,,10,4,15,13,18,1,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207624,344380605,0,,10,4,15,13,18,1,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207699,344269519,0,,21,13,43,1,18,1,727,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207731,344381595,0,,6,31,43,1,18,17,479,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207764,344381777,0,,21,13,29,1,18,10,,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207798,344381793,0,,21,4,26,2,6,1,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207863,344381785,0,,7,16,43,14,18,1,436,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221207988,344382320,0,,21,31,41,14,18,14,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208093,344382908,0,,21,4,43,5,18,9,7016,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208150,344177969,0,,21,5,24,2,6,12,869,1,2,,45,,26,,,1,2020-07-27 00:19:05 EDT
221208200,344137831,0,,21,31,29,6,18,14,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208218,344188263,0,,21,4,43,1,6,1,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208333,344385083,0,,21,4,43,14,1,14,479,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208341,344206529,0,,12,13,43,5,8,14,869,1,2,,70,,19,,,1,2020-07-27 00:19:05 EDT
221208341,344309810,0,,12,13,43,5,8,14,869,1,2,,70,,19,,,1,2020-07-27 00:19:05 EDT
221208457,344386586,0,,12,13,7,1,13,1,889,1,2,,30,,26,,,1,2020-07-27 00:19:05 EDT
221208556,344387147,0,,21,31,43,12,18,14,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208655,344388392,0,,21,31,30,2,8,14,804,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208663,344386511,0,,21,20,43,5,18,1,7010,1,2,,43,,15,,,1,2020-07-27 00:19:05 EDT
221208697,344388988,0,,2,31,26,14,18,1,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208713,344389283,0,,2,4,3,3,18,1,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208762,344389614,0,,7,2,32,2,2,17,,2,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208846,344389960,0,,21,13,43,5,13,1,869,1,2,,30,,18,,,1,2020-07-27 00:19:05 EDT
221208861,344367578,0,,21,5,30,1,8,1,,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221208929,344390471,0,,21,4,42,5,13,9,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209042,344391917,0,,21,16,8,5,18,17,7004,1,2,,14,,18,,,1,2020-07-27 00:19:05 EDT
221209075,344392063,0,,6,13,42,5,18,14,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209117,344392451,0,,21,16,8,1,13,17,7027,2,2,,45,,3,,,1,2020-07-27 00:19:05 EDT
221209117,344392451,0,,21,13,8,1,13,17,7027,1,2,,45,,3,,,2,2020-07-27 00:19:05 EDT
221209117,344392014,0,,21,16,8,1,13,17,7027,2,2,,45,,3,,,2,2020-07-27 00:19:05 EDT
221209117,344392014,0,,21,13,8,1,13,17,7027,1,2,,45,,3,,,1,2020-07-27 00:19:05 EDT
221209117,344392014,0,,21,13,8,1,13,17,7027,1,2,,45,,3,,,2,2020-07-19 00:19:11 EDT
221209117,344392014,0,,21,16,8,1,13,17,7027,2,2,,45,,3,,,1,2020-07-23 00:19:26 EDT
221209117,344392451,0,,21,13,8,1,13,17,7027,1,2,,45,,3,,,1,2020-07-23 00:19:26 EDT
221209117,344392451,0,,21,16,8,1,13,17,7027,2,2,,45,,3,,,2,2020-07-23 00:19:26 EDT
221209182,344375514,0,,21,13,43,5,18,1,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209240,344392782,0,,21,31,29,14,18,14,875,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209315,344393129,0,,7,4,29,1,14,10,7010,1,2,,34,,,,,1,2020-07-27 00:19:05 EDT
221209372,344390521,0,,21,16,29,2,18,14,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209422,344394176,0,,12,20,30,2,8,5,,1,2,,34,,2,,,1,2020-07-27 00:19:05 EDT
221209497,344250535,0,,1,10,24,2,1,11,0,3,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209505,344394622,0,,21,13,43,12,18,14,59,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209539,344394804,0,,21,13,30,1,18,11,7057,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209547,344152541,0,,21,23,43,5,11,9,7054,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209653,344394614,0,,21,19,30,2,8,14,804,1,2,,34,,4,,,1,2020-07-27 00:19:05 EDT
221209653,344401310,0,,21,19,30,2,8,14,804,1,2,,34,,4,,,1,2020-07-27 00:19:05 EDT
221209653,344402029,0,,21,19,30,2,8,14,804,1,2,,34,,4,,,1,2020-07-27 00:19:05 EDT
221209711,344395835,0,,10,4,15,13,8,14,9991,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209729,344396007,0,,21,4,29,1,5,1,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221209760,344396387,0,,6,13,8,5,18,1,595,1,2,,43,,15,,,1,2020-07-27 00:19:05 EDT
221210156,344378930,0,,21,20,43,5,18,14,,1,2,,43,,14,,,1,2020-07-27 00:19:05 EDT
221210198,344179668,0,,21,13,43,5,18,1,,1,2,,29,,19,,,1,2020-07-27 00:19:05 EDT
221210263,344397492,0,,12,13,43,5,13,17,,2,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210271,344398904,0,,21,13,25,5,13,18,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210339,344375274,0,,1,10,43,2,3,18,,3,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210347,343983367,0,,7,16,8,1,6,14,783,3,2,,,,,,,2,2020-07-18 04:10:54 EDT
221210347,343983367,0,,6,13,8,1,6,14,,1,2,,,,,,,1,2020-07-18 04:10:54 EDT
221210347,343983367,0,,7,16,8,1,6,14,783,3,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210347,343983367,0,,6,13,8,1,6,14,,1,2,,,,,,,2,2020-07-27 00:19:05 EDT
221210388,344399811,0,,21,31,3,3,18,14,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210396,344372941,0,,21,13,24,5,13,6,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210412,344373105,0,,21,19,43,2,18,1,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210412,344373121,0,,21,19,43,2,18,1,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210453,344400783,0,,3,13,28,1,8,14,7056,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210461,344400916,0,,1,10,26,2,2,11,747,3,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210479,344401054,0,,1,10,26,2,18,14,779,2,2,,,,,,,1,2020-07-27 00:19:05 EDT
